Date,Open,High,Low,Close,Adj Close,Volume
2009/6/1,78.209999,84.800003,77.489998,83.050003,83.050003,10796500
2009/6/2,82.419998,85.449997,82.099998,84.93,84.93,9397000
2009/6/3,83.309998,85.709999,83.129997,85.68,85.68,7603400
2009/6/4,85.419998,86.400002,84.57,85.519997,85.519997,5465400
2009/6/5,86.290001,87.949997,85.300003,87.559998,87.559998,8263500
2009/6/8,86.75,87.18,85.110001,86.360001,86.360001,5602100
2009/6/9,86.93,87.669998,86.169998,87.080002,87.080002,4475100
2009/6/10,87.580002,88.559998,84.830002,86.589996,86.589996,6073600
2009/6/11,86.300003,87.489998,85.050003,85.690002,85.690002,5009700
2009/6/12,85.029999,85.199997,82.010002,84.080002,84.080002,6223000
2009/6/15,82.830002,83.300003,81,83.18,83.18,5401800
2009/6/16,83.699997,83.949997,81.279999,82.150002,82.150002,5465800
2009/6/17,82.5,84.300003,80.639999,82.650002,82.650002,7785100
2009/6/18,82.809998,82.949997,81,81.599998,81.599998,5453100
2009/6/19,82.150002,83.459999,81.5,82.959999,82.959999,5438200
2009/6/22,82.410004,82.43,78.559998,79.150002,79.150002,9744400
2009/6/23,78.970001,79.099998,76.25,77.68,77.68,7415500
2009/6/24,78,80.529999,77.800003,79.269997,79.269997,6081400
2009/6/25,79.099998,82.230003,79.029999,82.199997,82.199997,7360400
2009/6/26,81.900002,84.139999,81.129997,83.879997,83.879997,8775300
2009/6/29,83.870003,84.199997,82.410004,83.029999,83.029999,6270300
2009/6/30,83.620003,84.919998,82.470001,83.660004,83.660004,7984800
2009/7/1,84.419998,84.5,81.370003,81.599998,81.599998,6981200
2009/7/2,81.110001,81.370003,78.510002,79.32,79.32,7218600
2009/7/6,78.449997,78.889999,76.540001,78.099998,78.099998,7368800
2009/7/7,78.529999,78.690002,75.410004,75.629997,75.629997,6491500
2009/7/8,76.459999,77.93,75.699997,77.360001,77.360001,8540700
2009/7/9,78.25,78.540001,76.82,78.099998,78.099998,6359500
2009/7/10,77.519997,78.82,76.169998,77.629997,77.629997,5976100
2009/7/13,78.07,81.650002,78.010002,81.470001,81.470001,8050200
2009/7/14,81.480003,82.419998,80.419998,81.949997,81.949997,4543600
2009/7/15,83,84.639999,82.779999,84.550003,84.550003,6339000
2009/7/16,84.419998,86.239998,83.720001,86.110001,86.110001,5361900
2009/7/17,85.800003,86.5,85.199997,85.849998,85.849998,5051600
2009/7/20,86.269997,88.879997,86.260002,88.230003,88.230003,6056600
2009/7/21,88.519997,89.010002,87.400002,89.010002,89.010002,7728600
2009/7/22,88.650002,89.230003,87.779999,88.790001,88.790001,5329600
2009/7/23,89.839996,94.400002,89.589996,93.870003,93.870003,19162100
2009/7/24,87.599998,88.900002,85.5,86.489998,86.489998,19204600
2009/7/27,86.239998,86.489998,83.559998,84.239998,84.239998,11279300
2009/7/28,83.839996,85.639999,82.599998,84.980003,84.980003,8774900
2009/7/29,84.470001,85.5,83.519997,84.339996,84.339996,6502900
2009/7/30,85.639999,87.25,85.169998,86.089996,86.089996,7253200
2009/7/31,85.760002,86.75,84.620003,85.760002,85.760002,5886900
2009/8/3,86.559998,88.199997,86.559998,87.440002,87.440002,6663000
2009/8/4,87.480003,87.480003,84.93,85.800003,85.800003,6177900
2009/8/5,85.639999,85.75,83.019997,84.290001,84.290001,7279400
2009/8/6,84.309998,84.839996,83.050003,84.470001,84.470001,4693000
2009/8/7,84.099998,85.959999,84.099998,85.32,85.32,5628000
2009/8/10,85.010002,85.470001,83.269997,84.440002,84.440002,4440600
2009/8/11,83.639999,84.400002,82.449997,83.559998,83.559998,5025000
